Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Reporting Period,Lobbyist Compensation,Staff Expenses,Office Expenses,Research Expenses,Communications,Witness Fees or Expenses,Other Operating Expenses,Sponsored Event Expenses,Tickets to Events Expenses,Meal & Bev at Meetings,Meal & Bev for Speaking,Meal & Bev for Officials,Gift expenses,Total Expenses
A001619,"Abbruzzese, Rick",KO Public Affairs LLC,"Bird Rides, Inc.",11/01/19-04/30/20,"$12,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,500.00"
A001620,"Abbruzzese, Rick",KO Public Affairs LLC,"Bird Rides, Inc.",05/01/20-09/01/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A012695,"Abbruzzese, Rick",KO Public Affairs LLC,goPuff,01/15/21-04/30/21,"$25,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,000.00"
A009733,"Abbruzzese, Rick",KO Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,11/01/20-04/30/21,"$24,996.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$24,996.00"
A001687,"Abbruzzese, Rick",KO Public Affairs LLC,Transource Maryland,11/01/19-04/30/20,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,000.00"
A005349,"Abbruzzese, Rick",KO Public Affairs LLC,Maryland Catholic Conference,05/01/20-10/31/20,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,000.00"
A002944,"Abbruzzese, Rick",KO Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,05/01/20-10/31/20,"$18,750.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$18,750.00"
A009731,"Abbruzzese, Rick",KO Public Affairs LLC,Share Our Strength,11/01/20-04/30/21,"$24,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$24,000.00"
A001624,"Abbruzzese, Rick",KO Public Affairs LLC,Share Our Strength,05/01/20-10/31/20,"$24,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$24,000.00"
A005348,"Abbruzzese, Rick",KO Public Affairs LLC,Maryland Catholic Conference,01/06/20-04/30/20,"$36,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$36,000.00"
A009735,"Abbruzzese, Rick",KO Public Affairs LLC,Maryland Catholic Conference,11/01/20-04/30/21,"$36,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$36,000.00"
A001623,"Abbruzzese, Rick",KO Public Affairs LLC,Share Our Strength,11/01/19-04/30/20,"$24,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$24,000.00"
A001688,"Abbruzzese, Rick",KO Public Affairs LLC,Transource Maryland,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A002943,"Abbruzzese, Rick",KO Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,11/01/19-04/30/20,"$18,750.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$18,750.00"
A006125,"Adams, Doug",Capitol Strategies,Capitol Strategies LLC,02/03/20-04/30/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A006126,"Adams, Doug",Capitol Strategies,Capitol Strategies LLC,05/01/20-10/31/20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
