Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R002144,"Abbruzzese, Rick A",KO Public Affairs LLC,"Bird Rides, Inc.",11/01/19-09/01/20
R006485,"Abbruzzese, Rick A",KO Public Affairs LLC,Share Our Strength,11/01/20-10/31/21
R006486,"Abbruzzese, Rick A",KO Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,11/01/20-10/31/21
R006484,"Abbruzzese, Rick A",KO Public Affairs LLC,Maryland Catholic Conference,11/01/20-10/31/21
R007256,"Abbruzzese, Rick A",KO Public Affairs LLC,goPuff,01/15/21-10/31/21
R002153,"Abbruzzese, Rick A",KO Public Affairs LLC,Share Our Strength,11/01/19-10/31/20
R002159,"Abbruzzese, Rick A",KO Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,11/01/19-10/31/20
R002162,"Abbruzzese, Rick A",KO Public Affairs LLC,Maryland Catholic Conference,01/06/20-10/31/20
R002138,"Abbruzzese, Rick A",KO Public Affairs LLC,Transource Maryland,11/01/19-10/31/20
R003501,"Adams, Doug Foley",Capitol Strategies,Capitol Strategies LLC,02/03/20-10/31/20
R002780,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"HP, Inc.",12/18/19-10/31/20
R003312,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"First Floor, Inc.",01/12/20-10/31/20
R006373,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"First Floor, Inc.",11/01/20-07/13/21
R006371,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"HP, Inc.",11/01/20-07/13/21
R003152,"Adkins, Todd ",National Rifle Association ,National Rifle Association,01/09/20-08/03/20
R000149,"Albert, David G.","The Waverly Group, Inc.","J29, Inc.",10/01/19-10/31/19
R000153,"Albert, David G.","The Waverly Group, Inc.","J29, Inc.",11/01/19-05/01/20
R006622,"Albert, David G.","The Waverly Group, Inc.",Maximus,11/16/20-10/31/21
R006621,"Albert, David G.","The Waverly Group, Inc.",Carahsoft,11/16/20-10/31/21
R003906,"Albert, David G.","The Waverly Group, Inc.",Carahsoft,11/01/19-10/31/20
R003905,"Albert, David G.","The Waverly Group, Inc.",Maximus,11/01/19-10/31/20
R006163,"Alexander, Gary R.","Alexander Strategic Solutions, LLC",Maryland Recovery Association,11/01/20-10/31/21
R000275,"Alexander & Cleaver, P.A.","Fletcher, Teresa ","Alexander & Cleaver, P.A.",05/01/20-10/31/20
R007045,"Ali, Ragina Cooper",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,01/06/21-10/31/21
R002642,"Ali, Ragina Cooper",AAA Club Alliance/AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,11/18/19-10/31/20
R005355,"Allen, Amanda Nicole",Transurban,Transurban,11/01/20-10/31/21
R003333,"Allen, Amanda Nicole",Transurban,Transurban,01/24/20-10/31/20
R008435,"Allen, Amanda Nicole",Transurban,Transurban,11/01/21-10/31/22
R003243,"Alston, Bryan ","State Circle Strategies, LLC",Coppin State University-College of Health Professions,01/13/20-10/31/20
R003246,"Alston, Bryan ","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",01/13/20-10/31/20
R007712,"Alston, Bryan ","State Circle Strategies, LLC","OGOS Energy, LLC",02/01/21-10/31/21
R003239,"Alston, Bryan ","State Circle Strategies, LLC","TicketNetwork, Inc",01/13/20-10/31/20
R003245,"Alston, Bryan ","State Circle Strategies, LLC","OGOS Energy, LLC",01/13/20-10/31/20
R007708,"Alston, Bryan ","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",02/01/21-10/31/21
R003240,"Alston, Bryan ","State Circle Strategies, LLC",Bon Secours Baltimore Health System Foundation,01/13/20-10/31/20
R003244,"Alston, Bryan ","State Circle Strategies, LLC",Baltimore City Community College,01/13/20-10/31/20
R007707,"Alston, Bryan ","State Circle Strategies, LLC",Park Heights Renaissance,02/01/21-10/31/21
R007709,"Alston, Bryan ","State Circle Strategies, LLC","TicketNetwork, Inc",02/01/21-10/31/21
R007714,"Alston, Bryan ","State Circle Strategies, LLC",Maryland Alliance of SAI Organizations,02/01/21-10/31/21
R003110,"Alston, Bryan ","State Circle Strategies, LLC",Corteva Agriscience,01/07/20-10/31/20
R003242,"Alston, Bryan ","State Circle Strategies, LLC",GEDCO (Govans Ecumenical Development Corporation),01/13/20-10/31/20
R007710,"Alston, Bryan ","State Circle Strategies, LLC",Corteva Agriscience,02/01/21-10/31/21
R007711,"Alston, Bryan ","State Circle Strategies, LLC",GEDCO (Govans Ecumenical Development Corporation),02/01/21-10/31/21
R007713,"Alston, Bryan ","State Circle Strategies, LLC",Baltimore City Community College,02/01/21-10/31/21
R007706,"Alston, Bryan ","State Circle Strategies, LLC",Bon Secours Baltimore Health System Foundation,02/01/21-10/31/21
R003247,"Alston, Bryan ","State Circle Strategies, LLC",Tagliata/ Elk Room LLC,01/13/20-10/31/20
R003241,"Alston, Bryan ","State Circle Strategies, LLC",Park Heights Renaissance,01/13/20-10/31/20
R000052,"Altema, Irnande ",Mental Health Association of Maryland,Mental Health Association of Maryland,11/01/19-10/31/20
R009613,"Altema, Irnande ",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/21-10/31/22
R006680,"Altema, Irnande ",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/19/20-10/31/21
R000034,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/19-10/31/20
R005522,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/20-10/31/21
R009273,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/21-10/31/22
R003826,"American Civil Liberties Union, Inc.","Dougherty, Terence ","American Civil Liberties Union, Inc.",04/06/20-10/31/20
R004603,"American Civil Liberties Union, Inc.","Dougherty, Terence ","American Civil Liberties Union, Inc.",11/01/20-10/31/21
R008910,"American Civil Liberties Union, Inc.","Dougherty, Terence ","American Civil Liberties Union, Inc.",11/01/21-10/31/22
R001724,"Amo, Gabriel ",N/A,"Home Depot, Inc., The",11/01/19-04/06/20
R000677,"Amo, Gabriel ",The Home Depot ,"Home Depot, Inc., The",10/21/19-10/31/19
R003234,"Amster, Molly ",Jews United for Justice,Jews United for Justice,01/13/20-10/31/20
R006786,"Amster, Molly ",Jews United for Justice,Jews United for Justice,12/01/20-10/31/21
R006496,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",11/01/20-10/31/21
R003875,"Anas, George Konstintine",Dominion Energy,Dominion Energy,05/12/20-10/31/20
R009494,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",11/01/21-10/31/22
R009490,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",11/01/21-10/31/22
R009498,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland RISE,11/01/21-10/31/22
R009495,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,11/01/21-10/31/22
R006722,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,11/20/20-10/31/21
R009491,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/01/21-10/31/22
R009488,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland Workforce Alliance,11/01/21-10/31/22
R006721,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",11/20/20-10/31/21
R006719,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",11/20/20-10/31/21
R005889,"Anderson, LaKeitha ",RAI Services Company,RAI Services Company,11/01/20-12/20/20
R006717,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,11/20/20-10/31/21
R006724,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Energy Action Fund,11/20/20-10/31/21
R006725,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,11/20/20-10/31/21
